FACILITY,4Digits,NAME,Latitude,Longitude
TERMINAL,BT25,117th ST. / FIGUEROA - BUS LAY OVER,33.927357,-118.282588
TERMINAL,BT07,18TH ST. - BUS LAYOVER,34.0323689,-118.2640982
TERMINAL,BT13,6th & WILTON - BUS LAYOVER,34.0643878,-118.3137794
TERMINAL,BT10,85th & CENTRAL - BUS LAYOVER,33.9610776,-118.2564167
DIVISION,BD01,ACTIVE BUS OPERATING DIVISION,34.0382183,-118.2390421
DIVISION,BD02,ACTIVE BUS OPERATING DIVISION,34.0574006,-118.2162795
DIVISION,BD05,ACTIVE BUS OPERATING DIVISION,34.2564752,-118.3912156
DIVISION,BD06,ACTIVE BUS OPERATING DIVISION,33.862207,-118.2797043
DIVISION,BD09,ACTIVE BUS OPERATING DIVISION,34.0300792,-118.2547756
DIVISION,BD11,ACTIVE BUS OPERATING DIVISION,34.0878686,-118.2240537
DIVISION,BD13,ACTIVE BUS OPERATING DIVISION,33.9924042,-118.3174545
DIVISION,BD14,ACTIVE BUS OPERATING DIVISION,33.9939476,-118.4764373
DIVISION,BD15,ACTIVE BUS OPERATING DIVISION,34.0851972,-118.38201
DIVISION,BD16,ACTIVE BUS OPERATING DIVISION,34.2368801,-118.5980392
DIVISION,BD17,ACTIVE BUS OPERATING DIVISION,34.2710376,-118.61481
DIVISION,BD03,BLUE LINE MAIN YARD,33.8348568,-118.2075189
TERMINAL,BT20,CAL STATE BUSWAY STATION,34.0628445,-118.1679894
LOCATION,BL05,CENTRAL CONTROL FACILITY - METRO RAIL,33.9288389,-118.2371399
LOCATION,BL02,CENTRAL MAINTENANCE FACILITY,34.0600741,-118.2285026
TERMINAL,BT22,COMPTON TRANSIT TERMINAL,33.8983243,-118.2222138
TERMINAL,BT16,DOZIER & ROWAN LAYOVER,34.0412062,-118.1873146
TERMINAL,BT14,ECHO PARK & DONALDSON LAYOVER,34.0914032,-118.2491926
TERMINAL,BT02,EL MONTE STATION,34.0724316,-118.0439641
TERMINAL,BT03,EX-BUS YARD,34.20135,-118.45075
TERMINAL,BT08,FOX HILLS MALL TRANSIT CENTER FOX HILLS MALL,33.9859028,-118.39321
TERMINAL,BT24,GALLERIA TRANSIT TERMINAL,33.8708,-118.356675
LOCATION,BL24,GATEWAY CITIES SERVICE SECTOR,33.9712585,-118.1204697
DIVISION,BD10,GREEN LINE MAIN YARD,33.8976957,-118.3773746
LOCATION,BL15,HARBOR GATEWAY TRANSIT CENTER,33.8706995,-118.2881084
LOCATION,BL10,HTW - 37TH STREET,34.0177634,-118.2804208
LOCATION,BL16,HTW - CARSON,33.831676,-118.2855535
