,stop_id,stop_name,type,served_by,frequency_per_day,latitude,longitude
0,80101,Downtown Long Beach Station,tram,801.0,1653,33.768071,-118.192921
1,80102,Pacific Ave Station,tram,801.0,795,33.772258,-118.1937
2,80105,Anaheim Street Station,tram,801.0,1653,33.78183,-118.189384
3,80106,Pacific Coast Hwy Station,tram,801.0,1653,33.78909,-118.189382
4,80107,Willow Street Station,tram,801.0,1803,33.807079,-118.189834
5,80108,Wardlow Station,tram,801.0,1803,33.819865,-118.19609
6,80109,Del Amo Station,tram,801.0,1814,33.848222,-118.211017
7,80110,Artesia Station,tram,801.0,1814,33.876082,-118.222503
8,80111,Compton Station,tram,801.0,1814,33.89749,-118.224249
9,80112,Willowbrook - Rosa Parks Station - Metro A-Line,tram,801.0,1814,33.928048,-118.237555
10,80113,103rd Street / Watts Towers  Station,tram,801.0,1814,33.94222,-118.243159
11,80114,Firestone Station,tram,801.0,1814,33.959611,-118.243205
12,80115,Florence Station,tram,801.0,1814,33.97374,-118.243271
13,80116,Slauson Station,tram,801.0,1814,33.98876,-118.243398
14,80117,Vernon Station,tram,801.0,1814,34.00292,-118.243303
15,80118,Washington Station,tram,801.0,1814,34.01965,-118.243084
16,80119,San Pedro Street Station,tram,801.0,1806,34.026807,-118.255505
17,80120,Grand / LATTC Station,tram,801.0,1806,34.033155,-118.269333
18,80121,Pico Station,tram,"801.0, 804.0",2652,34.040735,-118.266118
19,80122,7th Street / Metro Center Station - Metro A & E Lines,tram,"801.0, 804.0",2664,34.04861,-118.258822
20,80123,LATTC / Ortho Institute Station,tram,804.0,846,34.029112,-118.273603
21,80124,Jefferson / USC Station,tram,804.0,846,34.022123,-118.278118
22,80125,Expo Park / USC Station,tram,804.0,846,34.018227,-118.285734
23,80126,Expo / Vermont Station,tram,804.0,846,34.018245,-118.29154
24,80127,Expo / Western Station,tram,804.0,846,34.018331,-118.30891
25,80128,Expo / Crenshaw E-Line Station,tram,804.0,846,34.022526,-118.335078
26,80129,Farmdale Station,tram,804.0,846,34.023981,-118.346095
27,80130,Expo / La Brea / Ethel Bradley Station,tram,804.0,846,34.024803,-118.355159
28,80131,La Cienega / Jefferson Station,tram,804.0,846,34.026355,-118.37212
29,80132,Culver City Station,tram,804.0,846,34.027896,-118.388986
30,80133,Palms Station,tram,804.0,846,34.029323,-118.404255
31,80134,Westwood / Rancho Park Station,tram,804.0,846,34.036816,-118.424576
32,80135,Expo / Sepulveda Station,tram,804.0,846,34.035408,-118.434234
33,80136,Expo / Bundy Station,tram,804.0,846,34.031705,-118.452896
34,80137,26th Street / Bergamot Station,tram,804.0,832,34.027995,-118.46912
35,80138,17th Street / SMC Station,tram,804.0,832,34.023155,-118.480372
36,80139,Downtown Santa Monica Station,tram,804.0,832,34.01401,-118.491384
37,80153,1st Street Station,tram,801.0,858,33.76874,-118.189362
38,80154,5th Street Station,tram,801.0,858,33.773598,-118.189412
39,80201,North Hollywood Station,metro,802.0,1044,34.168504,-118.376808
40,80202,Universal / Studio City Station,metro,802.0,1044,34.140002,-118.362699
41,80203,Hollywood / Highland Station,metro,802.0,1044,34.101547,-118.338549
42,80204,Hollywood / Vine Station,metro,802.0,1044,34.10163,-118.32518
