id,accommodates,latitude,longitude,kmeans_cluster,sub_cluster
A75212,2,33.8465,-118.08244,34,34
A76561,3,33.98522,-118.35942,25,25_1
A79502,2,34.08285903930664,-118.27875518798828,9,9_1
A79832,2,34.12801,-118.31919,21,21_3
A80714,1,34.05798,-118.35541,0,0_3
A84636,2,33.91942,-118.20913,18,18
A229209,2,34.05115,-118.42038,29,29_1
A229799,4,34.04682,-118.43568,29,29_1
A237985,2,33.99492,-118.45825,17,17_1
A237988,5,33.9943,-118.45642,17,17_1
A241906,1,34.14461,-118.4158,19,19
A242108,6,33.84705,-118.19424,2,2
A245682,2,34.11803,-118.78347,8,8
A253683,6,33.84731,-118.19586,2,2
A2708,1,34.09625,-118.34605,21,21_2
A2732,1,34.0044,-118.48095,17,17_1
A2864,2,33.8749,-118.11515,34,34
A6033,3,34.16887,-118.64478,28,28
A6931,1,34.0949,-118.34766,21,21_2
A7874,2,33.87687,-118.11444,34,34
A7992,3,34.11364,-118.26068,12,12
A8021,2,34.06016,-118.37911,0,0_1
A84789,10,34.16708,-118.64441,28,28
A85246,2,34.05467,-118.36356,0,0_2
A86674,2,34.08195,-118.2784,9,9_1
A254259,2,34.00391,-118.45599,17,17_1
A254320,3,34.1414,-118.40714,19,19
A254844,4,34.08851,-118.42911,29,29_1
A255656,4,34.10336,-118.32366,21,21_3
A255701,6,34.10336,-118.32366,21,21_3
A255709,1,34.08295,-118.27693,9,9_1
A256182,4,34.07967,-118.28379,9,9_1
A256622,2,34.0927,-118.36314,0,0_0
A86945,1,34.08483,-118.36664,0,0_3
A87595,2,33.96731,-118.41919,4,4
A90986,2,34.03948,-118.34081,27,27
A96334,1,34.15504,-118.6031,28,28
A9140,2,33.77202,-118.18852,2,2
A9376,1,33.99782,-118.47698,17,17_1
A9545,1,33.83866,-118.3872,13,13
A11511,2,34.11408,-118.32234,21,21_3
A11877,1,33.99573,-118.47216,17,17_1
A13776,4,33.83931,-118.38638,13,13
A14098,2,34.11834,-118.31997,21,21_3
A14124,4,33.83931,-118.38638,13,13
A15089,2,34.04276657104492,-118.35211944580078,27,27
A15333,6,34.16614532470703,-118.4123764038086,19,19
A18041,8,33.99179,-118.45056,17,17_2
A18067,4,33.99117,-118.45159,17,17_2
A18433,1,33.99121,-118.44049,4,4
A19887,1,34.08363,-118.2843,9,9_1
A20585,2,33.98047,-118.46514,17,17_2
A23710,2,34.12057,-118.18934,12,12
A23925,3,34.00299,-118.46556,17,17_1
A23979,2,34.11957,-118.32013,21,21_3
A257003,4,34.11513900756836,-118.32440948486328,21,21_3
A259679,2,34.10707,-118.19155,12,12
A262430,2,34.50752,-118.3183,14,14
A266566,1,34.10864,-118.32937,21,21_3
A272637,1,33.83951,-118.38002,13,13
A273119,3,33.99618,-118.45439,17,17_1
A278106,2,33.97975,-118.46494,17,17_2
A278184,2,33.9911,-118.47861,17,17_1
A279086,2,33.99927,-118.42641,4,4
A281287,6,33.89936,-118.25553,18,18
A286019,2,34.15787,-118.32,7,7
A286866,5,34.11224,-118.25668,12,12
A287630,1,34.16658,-118.62265,28,28
A288428,2,34.19141,-118.48034,3,3
A296379,2,34.08517,-118.35453,21,21_2
A297561,1,33.81127,-118.38859,13,13
A297682,2,34.09401,-118.36457,0,0_0
A298259,4,33.99795,-118.44521,17,17_2
A299876,2,34.09014,-118.24872,9,9_4
A300311,1,34.04579,-118.31363,27,27
A300323,4,34.04612,-118.31176,27,27
A300329,2,34.04711,-118.31178,27,27
A300343,1,34.04621,-118.31188,27,27
A300371,12,34.04656,-118.31408,27,27
A300407,4,34.04609,-118.31187,27,27
A300476,2,34.00199,-118.46025,17,17_1
A24030,2,33.98798,-118.47245,17,17_1
A24041,2,33.83889,-118.38537,13,13
A24349,5,34.10942,-118.22003,12,12
A25670,1,34.04579,-118.44166,29,29_1
A26082,2,34.1674,-118.64293,28,28
A30470,1,34.02496,-118.38513,4,4
A32963,3,33.99327,-118.44407,17,17_2
A33447,2,34.01451,-118.8064,30,30
A97000,4,33.91942,-118.20913,18,18
A101424,2,34.06247,-118.29005,9,9_2
A101702,2,34.07332,-118.26331,9,9_4
A106052,2,33.8271,-118.27944,20,20
A37171,3,34.03419,-118.33101,27,27
A40667,2,34.03926,-118.38017,0,0_2
A43318,2,34.04828,-118.23605,9,9_0
A44509,2,34.1982,-118.4589,19,19
A44511,2,33.91942,-118.20913,18,18
A45392,2,34.10632,-118.22361,12,12
A45417,4,34.09574,-118.27788,9,9_1
A46853,2,34.08574,-118.28536,9,9_1
A305722,1,33.84692,-118.15613,34,34
A307541,2,33.98831,-118.47154,17,17_1
A311176,4,34.00882,-118.33335,27,27
A312387,4,33.92483,-118.27031,18,18
A320747,6,33.87213,-118.39654,13,13
A321051,5,33.99125,-118.3474,27,27
A321179,4,34.08828,-118.2842,9,9_1
A321599,2,33.977921,-118.463158,17,17_2
A323093,3,34.08267,-118.64594,16,16
A106061,4,34.08587,-118.2648,9,9_4
A111646,4,34.17324,-118.38833,7,7
A113253,2,34.04884,-118.37155,0,0_2
A114203,2,34.09513,-118.36875,0,0_0
A117276,2,34.09706,-118.61913,16,16
A46858,6,34.01269,-118.40788,4,4
A47794,2,33.99344,-118.44295,17,17_2
A49731,1,34.15533,-118.23708,12,12
