Venue,Latitude,Longitude,Approx. Capacity,id
Arena (Crypto.com),34.04306,-118.26722,18910.0,V4
Arena (Intuit Dome),33.95278,-118.33611,55700.0,V5
Convention Center,34.04306,-118.26722,29970.0,V8
Convention Center,33.76583,-118.18694,126500.0,V9
Dodger Stadium,34.07222,-118.24194,56000.0,V11
Fairgrounds,34.08306,-117.75,10000.0,V12
LA Memorial Coliseum,34.01417,-118.28778,187758.0,V14
Riviera Country Club,34.04,-118.48667,700.0,V17
Rose Bowl Stadium,34.15639,-118.16333,85000.0,V18
Santa Anita Park,34.13722,-118.03333,26000.0,V19
Sepulveda Basin Recreation Area,34.16667,-118.46667,6000.0,V20
Softball Park,35.46667,-97.5,13000.0,V22
Stadium (BMO),34.01417,-118.25556,22000.0,V24
Universal Studios Lot,34.1375,-118.35833,1000.0,V28
Velodrome (VELO Center),33.85833,-118.25833,70000.0,V30
Venice Beach,33.98556,-118.45944,5000.0,V31
Whitewater Center,35.46667,-97.5,2000.0,V33
