id,BT25,BT07,BT13,BT10,BD01,BD02,BD05,BD06,BD09,BD11,BD13,BD14,BD15,BD16,BD17,BD03,BT20,BL05,BL02,BT22,BT16,BT14,BT02,BT03,BT08,BT24,BL24,BD10,BL15,BL10,BL16,BL13,BL12,BL17,BL14,BL11,BD04,BT23,BT11,BT06,BL04,BL06,BL09,BT01,BL18,BL01,BT21,BD12,BL20,BL21,BL08,BT28,BT09,BD08,BT12,BT18,BT27,BD07,BT17,BL22,BL23,BT26,BL19,BT04,BT19,BL03,BL07,BT05,BT15
A1,2234,1766,1370,2384,2077,1938,1932,2472,1853,2021,2036,2089,452,2703,2387,2986,2149,2421,1993,2759,2149,1947,2619,1878,1788,2357,2491,2204,2518,1740,2551,2248,2117,2685,2279,1897,3152,2024,1632,2113,1990,1827,2448,2030,2905,2035,1860,2491,1820,2695,1997,1745,2836,1844,1264,988,1485,1928,2204,2529,2558,1594,1861,1854,1850,2308,1811,1372,2128
A2,1750,1294,1042,1912,1632,1787,2402,1988,1382,1930,1564,1610,552,2687,2439,2502,1893,1937,1871,2275,1774,2238,2375,1796,1304,1873,2088,1720,2034,1268,2067,1764,1645,2201,1807,1425,2668,1540,1160,1629,1841,1718,1964,1694,2421,1674,2157,2088,1648,2450,1769,1738,2388,1786,846,1442,1126,1699,2028,2580,2314,1486,1685,1472,1664,1818,1758,954,1717
A3,1254,779,948,1397,1116,1271,2086,1594,866,1415,1049,1216,904,2371,2124,2107,1378,1422,1356,1759,1259,1626,1859,1481,953,1479,1573,1326,1444,753,1673,1227,1130,1806,1291,885,2274,1187,645,1234,1325,1202,1448,1178,2027,1159,1868,1573,1132,1934,1253,1223,1872,1271,530,1375,996,1184,1513,2265,1798,1356,1170,957,1149,1302,1243,341,1201
A4,1741,1267,650,1885,1604,1726,2050,2082,1354,1809,1537,1703,493,2818,2505,2595,1937,1910,1781,2247,1747,1764,2407,1993,1441,1966,2060,1814,1932,1240,2160,1715,1618,2294,1779,1372,2762,1674,1133,1722,1778,1615,1936,1863,2515,1646,1978,2060,1632,2483,1785,1533,2360,1632,706,968,782,1716,1992,2647,2346,1119,1700,1539,1638,1790,1599,814,1689
A5,2270,1640,2254,2414,1681,1453,2260,2348,1561,1614,2399,2954,2913,3085,2838,2245,1215,1963,1516,2293,1429,1687,616,2449,2648,2749,1537,2839,2271,1769,2451,2244,2146,2367,2308,2493,2556,2657,2082,2652,1525,1422,2000,1762,2698,1440,1475,1537,1689,604,1592,1644,2222,1470,2180,2102,2267,1523,1542,2979,610,2077,1731,1724,1255,1826,1442,2052,1394
A6,2628,1979,2593,2693,2022,1839,2873,2634,1900,2000,2739,3293,3252,3698,3451,2531,1601,2248,1902,2569,1815,2216,1205,3062,2955,3035,1822,3124,2557,2155,2737,2630,2532,2653,2572,2832,2841,2943,2421,2938,1911,1808,2285,2148,2983,1826,2088,1822,2075,1223,1978,2030,2608,1856,2519,2487,2606,1909,1928,3592,1144,2463,2116,2110,1641,2178,1828,2391,1780
A7,1489,1069,1479,1632,1161,786,1466,1764,1042,716,1644,2245,2235,2272,2024,2089,1110,1657,1030,1995,1109,692,1580,1631,1939,2209,1513,2187,1680,988,1909,1463,1365,2096,1527,1784,2400,2005,1386,2000,911,931,1684,1167,2263,953,648,1513,908,1655,1101,838,1834,801,1471,1326,1573,1031,1025,2166,1518,1260,949,943,830,1306,773,1343,1135
A8,1230,1933,2268,1603,2163,2282,2980,1108,1913,2350,1809,1968,2457,3265,3017,1621,2356,1417,2337,1718,2361,2469,2874,2375,1186,510,2377,546,1154,2013,1186,1243,1420,1320,1198,1456,1788,1194,1892,1005,2319,2171,1443,2229,1541,2206,2794,2377,1932,2949,2341,2065,2064,2173,2009,2591,2324,2272,2533,3159,2813,2353,1974,1966,2194,2232,2140,1774,2229
A9,3111,2902,2604,3466,2995,2619,1744,3349,2875,2658,3230,2966,3068,2165,1917,3862,2943,3298,2864,3635,2943,2530,3413,1789,2664,3234,3346,3081,3395,2822,3427,3124,3199,3561,3361,2903,4029,2900,2826,2989,2699,2765,3324,3000,3782,2786,2255,3346,2741,3489,2934,2671,3668,2634,2882,2161,2697,2865,2859,2059,3352,2615,2783,2776,2663,3140,2606,2648,2969
A10,2575,1793,2407,2642,1836,1802,3110,2559,1714,2038,2553,3107,3066,3916,3669,2482,1627,2196,1877,2459,1620,2255,1596,3284,2801,2960,1769,3034,2482,2130,2662,2605,2508,2604,2498,2646,2792,2890,2235,2885,1949,1784,2232,1989,2934,1761,2491,1769,2050,1541,1835,2006,2387,1894,2333,2463,2420,1766,1983,3810,1535,2406,2092,2021,1696,1992,1866,2205,1559
