id,BT25,BT07,BT13,BT10,BD01,BD02,BD05,BD06,BD09,BD11,BD13,BD14,BD15,BD16,BD17,BD03,BT20,BL05,BL02,BT22,BT16,BT14,BT02,BT03,BT08,BT24,BL24,BD10,BL15,BL10,BL16,BL13,BL12,BL17,BL14,BL11,BD04,BT23,BT11,BT06,BL04,BL06,BL09,BT01,BL18,BL01,BT21,BD12,BL20,BL21,BL08,BT28,BT09,BD08,BT12,BT18,BT27,BD07,BT17,BL22,BL23,BT26,BL19,BT04,BT19,BL03,BL07,BT05,BT15
BT25,0,925,1392,595,1156,1274,2406,488,906,1342,932,1572,2051,2869,2621,1057,1475,559,1329,852,1298,1461,1956,1979,790,934,1496,959,404,1005,633,24,431,820,251,1060,1255,778,1220,773,1311,1164,489,1221,987,1198,1787,1496,924,2031,1334,1058,1127,1166,1318,1583,1405,1264,1525,2763,1895,1345,966,958,1186,1224,1133,1190,1241
BT07,893,0,826,1036,449,604,1820,1169,200,747,971,1526,1485,2626,2378,1482,710,1062,688,1399,592,964,1192,1791,1220,1614,905,1590,1084,392,1313,867,769,1500,931,1065,1793,1443,654,1404,658,535,1088,437,1668,491,1200,905,499,1267,586,609,1205,604,752,1134,839,517,846,2519,1131,853,526,370,481,635,576,624,534
BT13,1513,1105,0,1656,1411,1240,1734,1788,1089,1323,1066,1687,1089,2436,2189,2357,1452,1681,1295,2019,1452,1279,1922,1707,1381,1950,1794,1798,1704,1012,1933,1486,1389,2120,1551,1226,2555,1604,748,1706,1292,1130,1708,1343,2287,1338,1600,1794,1071,1997,1300,1078,2139,1147,561,724,169,1230,1506,2330,1861,496,1071,920,1152,1525,1114,785,1430
BT10,669,1004,1471,0,1272,1354,2485,900,1124,1421,1011,1935,2130,3231,2983,1385,1565,587,1408,1032,1378,1540,2035,2341,1152,1345,1749,1322,815,1084,1044,598,446,1231,662,1268,1695,1226,1300,1135,1390,1243,571,1300,1399,1277,1866,1749,1003,2110,1413,1137,535,1245,1397,1662,1484,1344,1604,3125,1974,1424,1045,1037,1265,937,1212,1269,1320
BD01,1377,489,1103,1280,0,636,1899,1652,402,827,1248,1803,1762,2705,2458,1520,797,1250,658,1497,679,1079,1272,2074,1497,1999,943,1913,1568,876,1797,1351,1253,1642,1415,1342,1831,1720,931,1822,738,351,1287,326,1973,571,1280,943,675,1347,403,696,1246,683,1029,1201,1116,333,925,2599,1211,1163,715,717,498,676,655,901,621
BD02,1269,563,1177,1412,604,0,1644,1544,484,572,1322,1877,1836,2450,2203,1532,545,1262,428,1509,545,789,1015,1817,1571,1989,955,1966,1459,768,1689,1242,1145,1654,1307,1416,1842,1794,1005,1780,487,429,1298,749,1984,388,1025,955,687,1090,543,617,1277,434,1103,1100,1190,474,544,2344,954,1075,729,722,253,749,400,975,577
BD05,2305,1885,1740,2449,1978,1602,0,2581,1858,1641,2461,2695,2204,1527,1280,2906,1926,2474,1847,2811,1926,1513,2396,1119,2393,2962,2329,2810,2496,1804,2725,2279,2182,2912,2343,2601,3216,2629,2202,2718,1682,1748,2500,1983,3080,1769,1238,2329,1724,2471,1917,1654,2651,1617,2254,1297,1833,1847,1841,1421,2335,1751,1766,1759,1646,2123,1589,2160,1951
BD06,589,1251,1718,921,1481,1600,2731,0,1231,1668,1258,1867,2377,3164,2916,880,1529,739,1655,873,1534,1787,2047,2274,1085,800,1550,874,300,1331,493,576,738,579,382,1355,1047,1094,1546,1073,1637,1489,765,1547,907,1524,2112,1550,1250,2122,1660,1383,1385,1491,1644,1909,1731,1590,1851,3058,1986,1671,1292,1284,1512,1550,1459,1516,1401
BD09,1056,240,836,1130,345,585,1800,1332,0,728,982,1536,1495,2606,2359,1463,691,1225,669,1440,572,945,1173,1801,1230,1777,886,1647,1247,555,1476,1030,933,1663,1094,1075,1773,1453,664,1567,639,515,1251,347,1831,472,1181,886,566,1248,567,812,1186,584,762,1255,849,497,826,2500,1111,835,604,504,462,615,556,634,514
BD11,1083,663,1152,1227,735,360,1495,1359,616,0,1239,1840,1799,2301,2053,1663,684,1252,597,1589,683,636,1153,1668,1534,1804,1086,1781,1274,582,1503,1057,960,1690,1121,1379,1974,1599,980,1594,194,526,1278,761,1858,526,844,1086,502,1229,674,432,1408,278,1066,878,1157,605,606,2195,1092,890,544,537,403,880,250,938,709
BD13,898,1097,1080,1084,1317,1435,2567,1173,1067,1503,0,1651,1799,2958,2710,1742,1647,1066,1490,1404,1460,1622,2117,2068,882,1505,1773,1352,1089,1169,1318,871,821,1505,936,321,1940,754,572,1314,1472,1325,1093,1382,1672,1359,1948,1773,1085,2192,1495,1219,1495,1327,1074,1778,1133,1425,1686,2852,2056,1451,1127,1172,1347,1348,1294,938,1402
BD14,1589,1399,1580,1962,1736,1892,2290,1827,1486,2035,1669,0,1769,2574,2327,2341,1998,1777,1976,2114,1879,2246,2479,1684,1130,1712,2193,1560,1874,1373,1906,1603,1779,2040,1793,1369,2507,1379,1265,1308,1946,1822,1803,1798,2260,1779,2250,2193,1752,2555,1873,1843,2423,1891,1321,2058,1636,1804,2133,2468,2418,1996,1790,1577,1769,1922,1863,1087,1821
BD15,2087,1557,1174,2175,1894,2103,2159,2325,1644,2186,1827,1947,0,2932,2613,2839,2315,2275,2158,2612,2037,2112,2785,2044,1641,2210,2350,2057,2222,1530,2404,2005,1908,2538,2069,1702,3005,1877,1422,1966,2155,1992,2301,1956,2758,1936,2086,2350,1985,2860,2163,1910,2650,2010,1068,1166,1311,2093,2369,2755,2724,1652,2027,1934,2015,2080,1977,1177,1979
BD16,3012,2654,2356,3218,2746,2371,1485,3250,2627,2409,3132,2868,2951,0,524,3764,2695,3200,2616,3537,2695,2282,3165,1693,2566,3135,3098,2983,3297,2573,3329,3026,2950,3463,3112,2805,3930,2802,2728,2891,2451,2517,3226,2752,3683,2538,2007,3098,2493,3240,2686,2423,3420,2386,2783,1913,2449,2616,2610,184,3104,2367,2535,2528,2415,2892,2358,2549,2720
BD17,2728,2440,2142,3004,2533,2157,1271,2966,2413,2196,2847,2583,2606,541,0,3461,2481,2915,2402,3253,2481,2068,2951,1406,2281,2850,2884,2698,3012,2359,3044,2741,2737,3178,2898,2520,3646,2517,2443,2606,2237,2303,2942,2538,3399,2324,1793,2884,2279,3026,2472,2209,3206,2172,2499,1699,2235,2403,2396,435,2890,2153,2321,2314,2201,2678,2144,2265,2506
BD03,1098,1636,2226,1384,1679,1645,2948,805,1557,1876,1766,2289,2778,3585,3338,0,1448,939,1720,858,1453,2092,1966,2695,1507,1221,1469,1295,950,1839,911,1084,1246,762,891,1777,953,1515,2055,1494,1787,1626,975,1832,1005,1604,2329,1469,1758,2041,1678,1848,1420,1732,2152,2306,2240,1608,1804,3479,1905,2179,1800,1792,1516,1513,1704,2024,1321
BT20,1238,817,1308,1381,646,421,1909,1513,735,845,1393,1994,1953,2671,2424,1624,0,1406,483,1601,708,947,1178,1942,1688,1958,1047,1935,1429,737,1658,1211,1114,1845,1276,1533,1934,1754,1135,1749,780,389,1433,730,2012,582,1290,1047,656,1253,560,612,1392,642,1220,1069,1311,490,836,2565,1117,1044,698,691,408,864,636,1092,684
BL05,569,1040,1507,635,1271,1390,2521,987,1021,1457,1047,1679,2167,2975,2728,1115,1369,0,1445,491,1374,1576,1887,2085,896,1213,1390,1066,903,1120,1132,593,527,1319,779,1167,1425,884,1336,879,1426,1279,288,1337,1486,1313,1902,1390,1039,1962,1449,1173,766,1281,1433,1698,1521,1380,1640,2869,1826,1460,1081,1073,1301,1241,1248,1305,1241
BL02,1190,770,1261,1333,612,376,1746,1466,691,693,1345,1946,1906,2552,2304,1636,720,1358,0,1613,767,788,1190,1894,1640,1911,1059,1887,1381,689,1610,1164,1066,1797,1228,1486,1947,1706,1087,1701,631,316,1385,687,1965,538,1126,1059,609,1265,486,477,1404,359,1173,1022,1264,417,772,2445,1129,997,651,644,483,876,389,1044,696
BT22,840,1434,1901,1023,1696,1662,2915,986,1414,1851,1441,2072,2560,3369,3121,882,1465,517,1737,0,1470,1970,1983,2479,1290,1327,1486,1401,849,1514,1029,864,921,1093,709,1560,1297,1278,1729,1273,1820,1644,554,1730,1367,1621,2295,1486,1433,2059,1695,1566,941,1674,1827,2092,1914,1625,1821,3263,1922,1854,1475,1467,1534,1416,1642,1699,1338
BT16,1459,663,1276,1512,706,644,1875,1483,584,803,1422,1976,1936,2681,2434,1406,581,1136,776,1383,0,1020,1099,2049,1670,1885,833,1958,1407,958,1587,1433,1335,1528,1422,1516,1716,1894,1105,1825,714,697,1173,859,1859,293,1256,833,878,1174,704,833,1312,659,1203,1291,1290,635,700,2575,1038,1275,920,891,521,862,631,1074,426
BT14,1285,865,1093,1428,1031,651,1505,1561,927,690,1440,2041,1848,2311,2063,1955,975,1454,796,1791,974,0,1445,1726,1735,2006,1378,1982,1476,784,1705,1259,1161,1892,1323,1581,2265,1801,1182,1796,731,727,1480,963,2060,818,842,1378,704,1520,898,542,1699,582,1268,854,1120,828,957,2205,1384,883,746,739,695,1172,549,1139,1000
BT02,1911,1281,1895,2055,1322,1095,2328,2035,1202,1255,2041,2595,2554,3134,2886,1958,856,1688,1157,1935,1071,1472,0,2501,2289,2436,1385,2510,1958,1410,2138,1885,1788,2080,1949,2134,2268,2382,1723,2377,1166,1063,1724,1403,2410,1082,1708,1385,1330,390,1233,1286,1863,1112,1821,1743,1908,1164,1184,3027,263,1718,1372,1365,896,1467,1084,1693,1035
BT03,2003,1852,1688,2376,2183,1807,1114,2241,1939,1845,2122,1858,2129,1420,1173,2754,2131,2190,2098,2527,2130,1717,2600,0,1556,2125,2597,1973,2287,2005,2319,2016,2192,2453,2206,1795,2921,1792,1718,1881,1887,1933,2217,2136,2674,1974,1437,2597,1925,2676,2103,1850,2855,1822,1774,1245,1781,2034,2046,1314,2539,1699,1967,1960,1851,2327,1794,1540,2156
BT08,950,1181,1362,1323,1518,1674,2074,1188,1268,1817,901,1052,1551,2359,2111,1702,1780,1137,1758,1475,1661,2028,2261,1469,0,1073,1975,920,1234,1155,1267,964,1140,1401,1153,548,1868,740,1026,656,1728,1604,1164,1580,1621,1561,2035,1975,1534,2337,1655,1625,1784,1673,1103,1843,1418,1586,1915,2253,2200,1778,1572,1359,1551,1704,1645,869,1603
BT24,952,1666,1991,1337,1897,2016,2703,707,1647,2083,1532,1691,2180,2987,2740,1221,1974,1140,2071,1318,1979,2203,2492,2097,909,0,1995,604,754,1747,786,966,1154,920,798,1179,1387,917,1614,896,2053,1905,1166,1963,1141,1940,2528,1995,1666,2567,2075,1799,1786,1907,1731,2324,2047,2006,2267,2881,2431,2087,1707,1700,1928,1965,1874,1497,1847
BL24,1668,1084,1698,1796,1127,1082,2401,1642,1005,1329,1843,2398,2357,3207,2960,1564,942,1289,1157,1592,947,1546,1460,2574,1995,2043,0,2165,1565,1410,1745,1692,1626,1686,1580,1937,1875,1983,1526,1978,1240,1064,1325,1280,2017,1073,1782,0,1330,1563,1115,1286,1378,1185,1624,1743,1711,1045,1298,3101,1399,1697,1372,1312,1000,1232,1157,1496,782
BD10,806,1508,1844,1179,1739,1858,2557,846,1489,1926,1385,1544,2033,2841,2593,1359,1932,993,1913,1331,1938,2045,2450,1951,762,725,1953,0,892,1589,924,820,996,1058,936,1032,1526,771,1468,828,1895,1747,1020,1805,1279,1782,2370,1953,1508,2526,1917,1641,1640,1749,1585,2167,1901,1848,2109,2735,2389,1929,1549,1542,1770,1807,1716,1351,1805
BL15,531,1193,1660,863,1423,1542,2673,250,1173,1610,1199,1812,2319,3108,2860,851,1482,680,1597,826,1487,1729,2000,2218,1029,744,1503,818,0,1273,463,517,680,615,324,1300,1082,1038,1488,1017,1579,1431,707,1489,818,1466,2054,1503,1192,2075,1601,1325,1327,1433,1586,1851,1673,1532,1793,3002,1939,1613,1234,1226,1454,1492,1400,1458,1355
BL10,501,501,996,644,759,878,2009,777,509,946,656,1696,1655,2789,2541,1345,1090,669,933,1007,902,1065,1560,1961,1029,1222,1216,1198,692,0,921,475,377,1108,539,939,1543,1017,745,1012,915,767,696,825,1276,802,1390,1216,528,1635,938,661,1127,769,922,1187,1009,868,1129,2683,1499,949,570,562,790,845,736,794,844
BL16,646,1308,1775,978,1538,1657,2788,362,1288,1725,1314,1848,2336,3144,2896,929,1615,795,1712,959,1620,1844,2133,2254,1065,780,1636,854,501,1388,0,632,795,410,439,1335,1060,1074,1603,1053,1694,1546,822,1604,586,1581,2169,1636,1307,2208,1717,1440,1442,1548,1701,1966,1788,1647,1908,3038,2072,1728,1349,1341,1569,1607,1515,1573,1488
BL13,26,901,1368,571,1132,1250,2382,464,882,1318,908,1599,2027,2895,2648,1033,1462,561,1305,890,1274,1437,1932,2005,817,910,1523,986,380,981,609,0,407,796,227,1087,1231,805,1196,800,1287,1140,490,1197,963,1174,1763,1523,900,2007,1310,1034,1148,1142,1294,1559,1381,1240,1501,2789,1871,1321,942,934,1162,1200,1109,1166,1217
BL12,280,743,1210,366,974,1093,2224,556,724,1160,750,1591,1870,2887,2639,1124,1304,449,1148,786,1117,1280,1774,1997,808,1001,1409,978,471,824,700,254,0,887,318,1007,1323,895,1039,791,1130,982,475,1040,1055,1017,1605,1409,743,1850,1152,876,901,984,1137,1401,1224,1083,1344,2781,1713,1163,784,776,1005,1042,951,1008,1059
BL17,798,1459,1926,1130,1690,1809,2940,505,1440,1876,1466,1989,2478,3285,3038,753,1584,947,1864,1145,1590,1995,2103,2395,1207,921,1606,995,608,1539,409,784,946,0,591,1477,916,1215,1755,1194,1846,1698,974,1756,523,1740,2321,1606,1458,2178,1814,1592,1556,1700,1853,2117,1940,1745,1940,3179,2042,1879,1500,1492,1653,1649,1667,1724,1457
BL14,274,935,1402,606,1166,1285,2416,340,916,1352,942,1614,2062,2910,2663,908,1362,423,1340,711,1309,1471,1880,2020,832,785,1383,859,256,1015,485,260,422,672,0,1199,1107,820,1231,815,1322,1174,450,1232,839,1209,1797,1383,935,1956,1344,1068,1070,1176,1329,1593,1416,1275,1536,2804,1819,1355,976,968,1197,1234,1143,1200,1235
