BT25,BT07,BT13,BT10,BD01,BD02,BD05,BD06,BD09,BD11,BD13,BD14,BD15,BD16,BD17,BD03,BT20,BL05,BL02,BT22,BT16,BT14,BT02,BT03,BT08,BT24,BL24,BD10,BL15,BL10,BL16,BL13,BL12,BL17,BL14,BL11,BD04,BT23,BT11,BT06,BL04,BL06,BL09,BT01,BL18,BL01,BT21,BD12,BL20,BL21,BL08,BT28,BT09,BD08,BT12,BT18,BT27,BD07,BT17,BL22,BL23,BT26,BL19,BT04,BT19,BL03,BL07,BT05,BT15
636.0,526.0,1008.0,780.0,772.0,890.0,2022.0,912.0,521.0,958.0,789.0,1708.0,1667.0,2801.0,2553.0,1480.0,1102.0,805.0,945.0,1142.0,914.0,1077.0,1572.0,1973.0,1164.0,1357.0,1228.0,1334.0,827.0,660.0,1056.0,610.0,513.0,1243.0,674.0,1075.0,1678.0,1152.0,622.0,1147.0,927.0,779.0,831.0,837.0,1411.0,814.0,1402.0,1228.0,540.0,1647.0,950.0,673.0,1262.0,782.0,934.0,1199.0,1021.0,880.0,1141.0,2695.0,1511.0,961.0,582.0,638.0,802.0,980.0,749.0,806.0,856.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150.0,2270.0,2883.0,2356.0,2312.0,2268.0,3587.0,1883.0,2191.0,2514.0,2768.0,3366.0,3543.0,4393.0,4145.0,1864.0,2127.0,1911.0,2343.0,1940.0,2133.0,2731.0,2388.0,3760.0,2584.0,2299.0,1568.0,2372.0,1927.0,2596.0,1965.0,2136.0,2248.0,1806.0,1943.0,2854.0,2050.0,2593.0,2712.0,2572.0,2425.0,2249.0,1947.0,2466.0,2159.0,2259.0,2968.0,1568.0,2516.0,2333.0,2300.0,2471.0,2392.0,2371.0,2809.0,2928.0,2896.0,2231.0,2483.0,4287.0,2326.0,2882.0,2557.0,2498.0,2185.0,2472.0,2343.0,2681.0,1968.0
772.0,343.0,831.0,916.0,639.0,587.0,1718.0,1048.0,405.0,654.0,977.0,1519.0,1479.0,2497.0,2250.0,1616.0,798.0,941.0,642.0,1278.0,798.0,773.0,1268.0,1768.0,1213.0,1493.0,1111.0,1469.0,963.0,271.0,1192.0,746.0,648.0,1379.0,810.0,1059.0,1814.0,1288.0,660.0,1283.0,623.0,476.0,967.0,522.0,1547.0,684.0,1099.0,1111.0,265.0,1343.0,646.0,399.0,1411.0,478.0,745.0,895.0,837.0,577.0,838.0,2391.0,1207.0,615.0,307.0,217.0,498.0,841.0,445.0,617.0,740.0
946.0,1498.0,1797.0,1121.0,1729.0,1848.0,2575.0,1293.0,1479.0,1916.0,717.0,1563.0,2052.0,2860.0,2612.0,1860.0,2060.0,1150.0,1903.0,1488.0,1872.0,2035.0,2529.0,1970.0,781.0,1232.0,2111.0,1079.0,1209.0,1579.0,1438.0,919.0,765.0,1559.0,1056.0,666.0,2027.0,393.0,1238.0,918.0,1885.0,1737.0,1177.0,1795.0,1792.0,1772.0,2360.0,2111.0,1498.0,2605.0,1907.0,1631.0,1657.0,1739.0,1558.0,2157.0,1850.0,1838.0,2099.0,2754.0,2468.0,1919.0,1539.0,1532.0,1760.0,1797.0,1706.0,1359.0,1814.0
1545.0,2036.0,2649.0,1784.0,2079.0,2045.0,3348.0,1318.0,1957.0,2276.0,2196.0,2802.0,3309.0,4098.0,3850.0,1072.0,1848.0,1339.0,2120.0,1334.0,1853.0,2492.0,2366.0,3208.0,2019.0,1734.0,1869.0,1808.0,1322.0,2269.0,1342.0,1531.0,1676.0,1280.0,1338.0,2289.0,661.0,2028.0,2478.0,2028.0,2187.0,2026.0,1375.0,2232.0,1028.0,2004.0,2729.0,1869.0,2188.0,2441.0,2078.0,2248.0,1820.0,2132.0,2576.0,2706.0,2663.0,2008.0,2204.0,3992.0,2305.0,2609.0,2230.0,2222.0,1916.0,1912.0,2104.0,2448.0,1721.0
1783.0,2345.0,2912.0,2115.0,2388.0,2354.0,3658.0,1491.0,2266.0,2585.0,2452.0,2974.0,3463.0,4271.0,4023.0,1382.0,2158.0,1648.0,2429.0,1644.0,2163.0,2802.0,2676.0,3381.0,2192.0,1907.0,2179.0,1980.0,1594.0,2525.0,1573.0,1770.0,1932.0,1414.0,1576.0,2462.0,940.0,2201.0,2740.0,2180.0,2496.0,2336.0,1685.0,2542.0,1318.0,2313.0,3038.0,2179.0,2444.0,2782.0,2387.0,2577.0,2129.0,2441.0,2838.0,3015.0,2925.0,2318.0,2514.0,4165.0,2615.0,2865.0,2486.0,2478.0,2226.0,2222.0,2413.0,2710.0,2030.0
772.0,343.0,831.0,916.0,639.0,587.0,1718.0,1048.0,405.0,654.0,977.0,1519.0,1479.0,2497.0,2250.0,1616.0,798.0,941.0,642.0,1278.0,798.0,773.0,1268.0,1768.0,1213.0,1493.0,1111.0,1469.0,963.0,271.0,1192.0,746.0,648.0,1379.0,810.0,1059.0,1814.0,1288.0,660.0,1283.0,623.0,476.0,967.0,522.0,1547.0,684.0,1099.0,1111.0,265.0,1343.0,646.0,399.0,1411.0,478.0,745.0,895.0,837.0,577.0,838.0,2391.0,1207.0,615.0,307.0,217.0,498.0,841.0,445.0,617.0,740.0
1390.0,1881.0,2495.0,1629.0,1924.0,1890.0,3194.0,1163.0,1802.0,2121.0,2041.0,2647.0,3154.0,3944.0,3696.0,918.0,1693.0,1184.0,1965.0,1180.0,1699.0,2338.0,2212.0,3053.0,1865.0,1579.0,1715.0,1653.0,1167.0,2114.0,1140.0,1376.0,1521.0,1125.0,1183.0,2135.0,513.0,1873.0,2323.0,1873.0,2032.0,1872.0,1221.0,2077.0,854.0,1849.0,2574.0,1715.0,2033.0,2287.0,1923.0,2094.0,1665.0,1977.0,2421.0,2551.0,2508.0,1854.0,2049.0,3837.0,2151.0,2454.0,2075.0,2067.0,1762.0,1758.0,1949.0,2293.0,1566.0
1479.0,1893.0,2507.0,1641.0,1936.0,1902.0,3205.0,1186.0,1814.0,2133.0,2053.0,2670.0,3158.0,3966.0,3719.0,930.0,1705.0,1196.0,1977.0,1192.0,1711.0,2350.0,2224.0,3076.0,1887.0,1602.0,1726.0,1676.0,1179.0,2126.0,1269.0,1465.0,1533.0,1109.0,1271.0,2158.0,412.0,1896.0,2335.0,1875.0,2044.0,1884.0,1233.0,2089.0,866.0,1861.0,2586.0,1726.0,2045.0,2299.0,1935.0,2106.0,1677.0,1989.0,2433.0,2563.0,2520.0,1866.0,2061.0,3860.0,2162.0,2466.0,2087.0,2079.0,1774.0,1770.0,1961.0,2305.0,1578.0
1045.0,625.0,1068.0,1189.0,791.0,599.0,1582.0,1321.0,687.0,588.0,1201.0,1802.0,1761.0,2388.0,2140.0,1729.0,810.0,1214.0,556.0,1551.0,810.0,395.0,1280.0,1702.0,1496.0,1766.0,1152.0,1743.0,1236.0,544.0,1465.0,1019.0,922.0,1652.0,1083.0,1341.0,2039.0,1561.0,942.0,1556.0,557.0,488.0,1240.0,723.0,1820.0,696.0,948.0,1152.0,464.0,1355.0,658.0,328.0,1497.0,394.0,1028.0,829.0,1119.0,589.0,771.0,2281.0,1219.0,887.0,506.0,499.0,510.0,969.0,361.0,900.0,789.0
